,added,author,date_commit,deleted_rm,deleted_svn,modified,name,owner,path,repo_state,revision_num,time_commit,unversioned
0,0,sreejith.ps,"Wed, 21 Mar 2018",0,0,0,obstacle_map,Parvathy A,~/Parvathy_svn/ParvathyA_Sprint_6_001/AutonomousDriving_ws/src/Enviroment_Perception/obstacle_map/,clean,4369,14:13:35,0
1,0,sreejith.ps,"Wed, 14 Mar 2018",0,0,0,AutonomousDriving_ws,Parvathy,~/Parvathy_svn/ParvathyA_Sprint_4_001/AutonomousDriving_ws/,dirty,4241,11:47:15,24
2,0,parvathy.a,"Tue, 09 Jan 2018",0,0,1,obstacle_map,Parvathy A,/home/teroot/Parvathy_svn/ParvathyA_001/AutonomousDriving_ws/src/Enviroment_Perception/obstacle_map,dirty,3555,16:40:02,0
